 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
 2885.5615    3.0000    1.4997    1.4992    1.2159    0.7462    3.6942    0.2031  1.2286E+00     -1.4948  4.0553E+01
 2886.3433    3.0000    1.4997    1.4992    1.2211    0.7492    3.6939    0.2035  1.2341E+00     -1.4948  3.9977E+01
 2887.1169    3.0000    1.4997    1.4992    1.2263    0.7522    3.6937    0.2039  1.2393E+00     -1.4948  3.9409E+01
 2887.8831    3.0000    1.4997    1.4992    1.2316    0.7553    3.6935    0.2043  1.2444E+00     -1.4948  3.8849E+01
 2888.6416    3.0000    1.4997    1.4992    1.2368    0.7583    3.6933    0.2047  1.2492E+00     -1.4948  3.8298E+01
 2889.3926    3.0000    1.4997    1.4992    1.2420    0.7614    3.6931    0.2051  1.2538E+00     -1.4948  3.7755E+01
 2890.1360    3.0000    1.4997    1.4992    1.2473    0.7644    3.6929    0.2055  1.2581E+00     -1.4948  3.7220E+01
 2890.8718    3.0000    1.4997    1.4992    1.2525    0.7675    3.6927    0.2059  1.2622E+00     -1.4948  3.6693E+01
 2891.6003    3.0000    1.4997    1.4992    1.2578    0.7705    3.6925    0.2064  1.2660E+00     -1.4948  3.6174E+01
 2892.3218    3.0000    1.4997    1.4991    1.2630    0.7736    3.6922    0.2068  1.2696E+00     -1.4948  3.5662E+01
 2893.0356    3.0000    1.4997    1.4991    1.2682    0.7766    3.6920    0.2072  1.2729E+00     -1.4948  3.5157E+01
 2893.7427    3.0000    1.4997    1.4991    1.2735    0.7797    3.6918    0.2076  1.2758E+00     -1.4948  3.4661E+01
 2894.4426    3.0000    1.4997    1.4991    1.2787    0.7827    3.6916    0.2080  1.2785E+00     -1.4948  3.4171E+01
 2895.1355    3.0000    1.4997    1.4991    1.2839    0.7858    3.6914    0.2084  1.2809E+00     -1.4948  3.3688E+01
 2895.8213    3.0000    1.4997    1.4991    1.2892    0.7889    3.6911    0.2089  1.2829E+00     -1.4948  3.3213E+01
 2896.5005    3.0000    1.4997    1.4991    1.2944    0.7919    3.6909    0.2093  1.2847E+00     -1.4948  3.2744E+01
 2897.1729    3.0000    1.4997    1.4991    1.2997    0.7950    3.6907    0.2097  1.2860E+00     -1.4948  3.2282E+01
 2897.8384    3.0000    1.4997    1.4991    1.3049    0.7981    3.6905    0.2101  1.2870E+00     -1.4948  3.1827E+01
 2898.4973    3.0000    1.4997    1.4991    1.3101    0.8012    3.6902    0.2106  1.2876E+00     -1.4948  3.1379E+01
 2899.1494    3.0000    1.4997    1.4990    1.3154    0.8042    3.6900    0.2110  1.2878E+00     -1.4948  3.0937E+01
 2899.7954    3.0000    1.4997    1.4990    1.3206    0.8073    3.6898    0.2114  1.2876E+00     -1.4948  3.0501E+01
 2900.4346    3.0000    1.4997    1.4990    1.3258    0.8104    3.6895    0.2118  1.2872E+00     -1.4948  3.0072E+01
 2901.0676    3.0000    1.4997    1.4990    1.3311    0.8135    3.6893    0.2122  1.2868E+00     -1.4948  2.9649E+01
 2901.6943    3.0000    1.4997    1.4990    1.3363    0.8165    3.6891    0.2127  1.2863E+00     -1.4948  2.9232E+01
 2902.3147    3.0000    1.4997    1.4990    1.3416    0.8196    3.6888    0.2131  1.2859E+00     -1.4948  2.8821E+01
 2902.9287    3.0000    1.4997    1.4990    1.3468    0.8227    3.6886    0.2135  1.2854E+00     -1.4948  2.8416E+01
 2903.5366    3.0000    1.4997    1.4990    1.3520    0.8258    3.6884    0.2140  1.2850E+00     -1.4948  2.8017E+01
 2904.1387    3.0000    1.4997    1.4989    1.3573    0.8289    3.6881    0.2144  1.2846E+00     -1.4948  2.7624E+01
 2904.7346    3.0000    1.4997    1.4989    1.3625    0.8320    3.6879    0.2148  1.2841E+00     -1.4948  2.7236E+01
 2905.3245    3.0000    1.4997    1.4989    1.3677    0.8351    3.6877    0.2153  1.2837E+00     -1.4948  2.6854E+01
 2905.9084    3.0000    1.4997    1.4989    1.3730    0.8382    3.6874    0.2157  1.2832E+00     -1.4948  2.6477E+01
 2906.4868    3.0000    1.4997    1.4989    1.3782    0.8413    3.6872    0.2161  1.2828E+00     -1.4948  2.6106E+01
 2907.0591    3.0000    1.4997    1.4989    1.3835    0.8444    3.6869    0.2166  1.2823E+00     -1.4948  2.5740E+01
 2907.6260    3.0000    1.4997    1.4989    1.3887    0.8475    3.6867    0.2170  1.2819E+00     -1.4948  2.5379E+01
 2908.1870    3.0000    1.4997    1.4989    1.3939    0.8506    3.6865    0.2174  1.2814E+00     -1.4948  2.5024E+01
 2908.7424    3.0000    1.4997    1.4988    1.3992    0.8537    3.6862    0.2179  1.2810E+00     -1.4948  2.4673E+01
 2909.2922    3.0000    1.4997    1.4988    1.4044    0.8568    3.6860    0.2183  1.2805E+00     -1.4948  2.4328E+01
