           6
   104.171310    
   104.601578    
   104.849945    
   120.358749    
   121.142197    
   121.768318    
 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
  104.7266    3.0000    4.9918    4.9915    3.1449    1.8175    3.6407    0.8601  3.1654E+00     -0.2520  3.3454E+00
  104.7292    3.0000    4.9918    4.9914    3.1503    1.8213    3.6402    0.8601  3.1942E+00     -0.2520  3.2834E+00
  104.7318    3.0000    4.9918    4.9914    3.1558    1.8251    3.6397    0.8601  3.2231E+00     -0.2520  3.2226E+00
  104.7343    3.0000    4.9918    4.9914    3.1613    1.8289    3.6391    0.8602  3.2518E+00     -0.2520  3.1630E+00
  104.7368    3.0000    4.9918    4.9914    3.1667    1.8327    3.6386    0.8602  3.2804E+00     -0.2520  3.1046E+00
  104.7393    3.0000    4.9918    4.9914    3.1722    1.8365    3.6380    0.8602  3.3089E+00     -0.2520  3.0472E+00
  104.7418    3.0000    4.9918    4.9914    3.1776    1.8403    3.6375    0.8603  3.3372E+00     -0.2520  2.9910E+00
  104.7443    3.0000    4.9918    4.9914    3.1831    1.8441    3.6370    0.8603  3.3654E+00     -0.2520  2.9359E+00
  104.7467    3.0000    4.9918    4.9914    3.1885    1.8480    3.6364    0.8603  3.3935E+00     -0.2520  2.8818E+00
  104.7491    3.0000    4.9918    4.9914    3.1940    1.8518    3.6359    0.8604  3.4213E+00     -0.2520  2.8288E+00
  104.7515    3.0000    4.9918    4.9914    3.1994    1.8556    3.6353    0.8604  3.4490E+00     -0.2520  2.7768E+00
  104.7538    3.0000    4.9918    4.9913    3.2049    1.8594    3.6348    0.8604  3.4765E+00     -0.2520  2.7258E+00
  104.7562    3.0000    4.9918    4.9913    3.2104    1.8632    3.6343    0.8605  3.5037E+00     -0.2520  2.6758E+00
  104.7585    3.0000    4.9918    4.9913    3.2158    1.8670    3.6337    0.8605  3.5307E+00     -0.2520  2.6267E+00
  104.7607    3.0000    4.9918    4.9913    3.2213    1.8708    3.6332    0.8605  3.5574E+00     -0.2520  2.5786E+00
  104.7630    3.0000    4.9918    4.9913    3.2267    1.8747    3.6326    0.8606  3.5838E+00     -0.2520  2.5314E+00
  104.7653    3.0000    4.9918    4.9913    3.2322    1.8785    3.6321    0.8606  3.6099E+00     -0.2520  2.4851E+00
  104.7675    3.0000    4.9918    4.9913    3.2376    1.8823    3.6315    0.8606  3.6357E+00     -0.2520  2.4397E+00
  104.7697    3.0000    4.9918    4.9913    3.2431    1.8861    3.6310    0.8606  3.6612E+00     -0.2520  2.3952E+00
  104.7718    3.0000    4.9918    4.9913    3.2486    1.8899    3.6304    0.8607  3.6863E+00     -0.2520  2.3515E+00
  104.7740    3.0000    4.9918    4.9912    3.2540    1.8938    3.6299    0.8607  3.7110E+00     -0.2520  2.3086E+00
  104.7761    3.0000    4.9918    4.9912    3.2595    1.8976    3.6293    0.8607  3.7353E+00     -0.2520  2.2665E+00
  104.7782    3.0000    4.9918    4.9912    3.2649    1.9014    3.6288    0.8608  3.7591E+00     -0.2520  2.2253E+00
  104.7803    3.0000    4.9918    4.9912    3.2704    1.9052    3.6282    0.8608  3.7825E+00     -0.2520  2.1848E+00
  104.7824    3.0000    4.9918    4.9912    3.2758    1.9091    3.6277    0.8608  3.8055E+00     -0.2520  2.1451E+00
  104.7844    3.0000    4.9918    4.9912    3.2813    1.9129    3.6271    0.8608  3.8279E+00     -0.2520  2.1061E+00
  104.7865    3.0000    4.9918    4.9912    3.2867    1.9167    3.6266    0.8609  3.8498E+00     -0.2520  2.0679E+00
  104.7885    3.0000    4.9918    4.9912    3.2922    1.9206    3.6260    0.8609  3.8711E+00     -0.2520  2.0304E+00
  104.7905    3.0000    4.9918    4.9911    3.2977    1.9244    3.6255    0.8609  3.8918E+00     -0.2520  1.9936E+00
  104.7924    3.0000    4.9918    4.9911    3.3031    1.9282    3.6249    0.8609  3.9119E+00     -0.2520  1.9575E+00
  104.7944    3.0000    4.9918    4.9911    3.3086    1.9321    3.6244    0.8610  3.9314E+00     -0.2520  1.9221E+00
  104.7963    3.0000    4.9918    4.9911    3.3140    1.9359    3.6238    0.8610  3.9501E+00     -0.2520  1.8873E+00
  104.7982    3.0000    4.9918    4.9911    3.3195    1.9397    3.6233    0.8610  3.9682E+00     -0.2520  1.8532E+00
  104.8001    3.0000    4.9918    4.9911    3.3249    1.9436    3.6227    0.8610  3.9855E+00     -0.2520  1.8197E+00
  104.8020    3.0000    4.9918    4.9911    3.3304    1.9474    3.6222    0.8611  4.0020E+00     -0.2520  1.7869E+00
  104.8038    3.0000    4.9918    4.9910    3.3358    1.9512    3.6216    0.8611  4.0177E+00     -0.2520  1.7546E+00
  104.8056    3.0000    4.9918    4.9910    3.3413    1.9551    3.6211    0.8611  4.0326E+00     -0.2520  1.7230E+00
  104.8074    3.0000    4.9918    4.9910    3.3468    1.9589    3.6205    0.8611  4.0465E+00     -0.2520  1.6920E+00
  104.8092    3.0000    4.9918    4.9910    3.3522    1.9628    3.6199    0.8612  4.0596E+00     -0.2520  1.6615E+00
  104.8110    3.0000    4.9918    4.9910    3.3577    1.9666    3.6194    0.8612  4.0716E+00     -0.2520  1.6316E+00
