planet_host,planet_letter,discovery_method,sma,sma_err1,sma_err2,ecc,ecc_err1,ecc_err2,host_gmag,host_gmag_err,companion_mag,companion_mag_err,companion_sep,rho,rho_err
HD170469,b,Radial Velocity,2.24,0.05,-0.05,0.11,0.08,-0.08,8.05,,8.972000000000001,0.21,2604.0,43.19439,5e-05
WASP3,b,Transit,,,,0.0,,,10.453,,6.01,0.129,4266.0,18.33079,3e-05
Kepler1341,b,Transit,,,,,,,15.018,,11.055,0.368,5121.0,10.59067,0.0004
CoRoT9,b,Transit,0.4021,0.0054,-0.0054,0.133,0.042,-0.037000000000000005,13.501,,9.792,0.025,5002.0,11.96829,0.00015
Kepler83,b,Transit,,,,,,,15.783,,9.884,0.281,8944.0,22.08418,0.00012
Kepler83,c,Transit,,,,,,,15.783,,9.884,0.281,8944.0,22.08418,0.00012
Kepler83,d,Transit,0.051,,,,,,15.783,,9.884,0.281,8944.0,22.08418,0.00012
Kepler530,b,Transit,,,,,,,13.395,,10.815999999999999,0.084,1923.0,4.14545,0.00028
Kepler1540,b,Transit,,,,,,,14.083,,10.81,0.267,1367.0,5.54164,0.00011
Kepler1651,b,Transit,,,,0.13,0.06,-0.03,13.072,,10.673,0.129,270.0,4.05126,4e-05
Kepler504,b,Transit,,,,,,,14.458,,10.26,0.166,431.0,4.33349,5e-05
Kepler1130,b,Transit,,,,,,,12.396,,9.841000000000001,0.11599999999999999,882.0,3.51133,9e-05
Kepler779,b,Transit,,,,,,,15.634,,12.931,0.341,1105.0,3.87013,0.00091
Kepler514,b,Transit,,,,,,,12.133,,9.149,0.156,4863.0,10.5397,9e-05
Kepler25,b,Transit,,,,0.0029,0.0023,-0.0017,10.632,,6.143,0.07,2061.0,8.41529,2e-05
Kepler25,c,Transit,,,,0.0061,0.0049,-0.0041,10.632,,6.143,0.07,2061.0,8.41529,2e-05
Kepler25,d,Radial Velocity,,,,0.13,0.13,-0.09,10.632,,6.143,0.07,2061.0,8.41529,2e-05
Kepler454,b,Transit,,,,0.0,,,11.44,,11.817,0.125,1301.0,5.59568,0.00026
Kepler454,c,Radial Velocity,,,,0.0214,0.0077,-0.0077,11.44,,11.817,0.125,1301.0,5.59568,0.00026
Kepler1027,b,Transit,,,,,,,12.84,,9.152999999999999,0.165,7776.0,18.97526,0.00012
Kepler104,b,Transit,0.094,,,,,,12.57,,5.915,0.098,6877.0,16.96362,3e-05
Kepler104,c,Transit,0.153,,,,,,12.57,,5.915,0.098,6877.0,16.96362,3e-05
Kepler104,d,Transit,0.257,,,,,,12.57,,5.915,0.098,6877.0,16.96362,3e-05
Kepler411,b,Transit,0.0375,0.0008,-0.0008,0.146,0.005,-0.004,12.233,,10.219,0.111,533.0,3.45178,7e-05
Kepler411,c,Transit,0.0739,0.001,-0.001,0.108,0.003,-0.004,12.233,,10.219,0.111,533.0,3.45178,7e-05
Kepler411,d,Transit,0.279,0.004,-0.004,0.128,0.003,-0.003,12.233,,10.219,0.111,533.0,3.45178,7e-05
Kepler411,e,Transit Timing Variations,0.18600000000000005,0.003,-0.003,0.016,0.002,-0.001,12.233,,10.219,0.111,533.0,3.45178,7e-05
Kepler20,b,Transit,0.0463,0.0009,-0.0015,0.03,0.09,-0.03,12.453,,11.427999999999999,0.147,1080.0,3.78971,0.00027
Kepler20,c,Transit,0.0949,0.0027,-0.0023,0.16,0.01,-0.09,12.453,,11.427999999999999,0.147,1080.0,3.78971,0.00027
Kepler20,d,Transit,0.3506,0.0081,-0.0101,,,,12.453,,11.427999999999999,0.147,1080.0,3.78971,0.00027
Kepler20,e,Transit,0.0639,0.0019,-0.0014,,,,12.453,,11.427999999999999,0.147,1080.0,3.78971,0.00027
Kepler20,f,Transit,0.1396,0.0036,-0.0035,,,,12.453,,11.427999999999999,0.147,1080.0,3.78971,0.00027
Kepler20,g,Radial Velocity,0.2055,0.0022,-0.0021,0.15,0.01,-0.1,12.453,,11.427999999999999,0.147,1080.0,3.78971,0.00027
Kepler951,b,Transit,,,,,,,14.491,,9.657,0.03,5997.0,15.50545,0.00013
Kepler477,b,Transit,,,,,,,,,5.669,0.071,555.0,1.20571,9e-05
Kepler130,b,Transit,0.079,,,,,,11.825,,10.12,0.125,1337.0,4.1837,0.00013
Kepler130,c,Transit,0.17800000000000002,0.005,-0.005,0.0,0.07,0.0,11.825,,10.12,0.125,1337.0,4.1837,0.00013
Kepler130,d,Transit,0.377,,,,,,11.825,,10.12,0.125,1337.0,4.1837,0.00013
Kepler970,b,Transit,,,,,,,14.806,,3.0039999999999996,0.32,7520.0,22.46482,3e-05
Kepler444,b,Transit,0.04178,0.00079,-0.00079,0.16,0.21,-0.1,8.642999999999999,,9.457,0.025,67.0,1.83744,0.00044
Kepler444,c,Transit,0.04881,0.00093,-0.00093,0.31,0.12,-0.15,8.642999999999999,,9.457,0.025,67.0,1.83744,0.00044
Kepler444,d,Transit,0.06,0.0011,-0.0011,0.18,0.16,-0.12,8.642999999999999,,9.457,0.025,67.0,1.83744,0.00044
Kepler444,e,Transit,0.0696,0.0013,-0.0013,0.1,0.2,-0.07,8.642999999999999,,9.457,0.025,67.0,1.83744,0.00044
Kepler444,f,Transit,0.0811,0.0015,-0.0015,0.29,0.2,-0.19,8.642999999999999,,9.457,0.025,67.0,1.83744,0.00044
Kepler515,b,Transit,,,,,,,,,5.867000000000001,0.39799999999999996,662.0,1.99875,2e-05
Kepler1063,b,Transit,,,,,,,,,4.766,0.327,491.0,1.11199,0.00031
Kepler1319,b,Transit,,,,,,,14.222,,12.345999999999998,0.044000000000000004,197.0,1.88892,0.00022
Kepler795,b,Transit,,,,,,,13.311,,7.872000000000001,0.1,1459.0,2.92237,8e-05
Kepler390,b,Transit,0.065,,,,,,13.922,,10.066,0.059000000000000004,9125.0,20.7027,0.00022
Kepler390,c,Transit,0.101,,,,,,13.922,,10.066,0.059000000000000004,9125.0,20.7027,0.00022
CoRoT2,b,Transit,0.02798,0.0007599999999999999,-0.0008,0.0143,0.0077,-0.0076,12.249,,8.482000000000001,0.222,876.0,4.08099,6e-05
Kepler1480,b,Transit,,,,,,,14.482,,6.796,0.23800000000000002,2589.0,5.0952,3e-05
Kepler333,b,Transit,0.087,,,,,,14.720999999999998,,10.948,0.155,417.0,1.27325,0.00035
Kepler333,c,Transit,0.135,,,,,,14.720999999999998,,10.948,0.155,417.0,1.27325,0.00035
Kepler167,b,Transit,0.0483,0.0017,-0.0025,0.0,,,14.0,,11.3,0.135,765.0,2.21556,0.00041
Kepler167,c,Transit,0.0684,0.024,-0.0035,0.0,,,14.0,,11.3,0.135,765.0,2.21556,0.00041
Kepler167,d,Transit,0.1405,0.005,-0.0071,0.12,,,14.0,,11.3,0.135,765.0,2.21556,0.00041
Kepler167,e,Transit,1.89,0.058,-0.067,0.062,0.104,-0.043,14.0,,11.3,0.135,765.0,2.21556,0.00041
HATS65,b,Transit,0.04497,0.00033,-0.00033,0.062,,,12.379,,9.306000000000001,0.196,2502.0,5.005,0.00028
Kepler636,b,Transit,,,,,,,,,6.257999999999999,0.35600000000000004,614.0,1.21678,9e-05
Kepler517,b,Transit,,,,,,,12.13,,10.350999999999999,0.134,1898.0,6.49305,0.0001
Kepler78,b,Transit,,,,,,,11.529000000000002,,10.543,0.07200000000000001,921.0,7.37994,4e-05
HD185269,b,Radial Velocity,0.077,0.0034,-0.0034,0.229,0.014,-0.014,6.518,,10.338,0.055999999999999994,235.0,,
Kepler197,b,Transit,0.06,,,,,,11.78,,6.82,0.201,1876.0,5.62093,3e-05
Kepler197,c,Transit,0.09,,,,,,11.78,,6.82,0.201,1876.0,5.62093,3e-05
Kepler197,d,Transit,0.119,,,,,,11.78,,6.82,0.201,1876.0,5.62093,3e-05
Kepler197,e,Transit,0.16399999999999998,,,,,,11.78,,6.82,0.201,1876.0,5.62093,3e-05
Kepler1086,b,Transit,,,,,,,15.555,,6.204,0.135,7476.0,15.82994,4e-05
Kepler1086,c,Transit,,,,,,,15.555,,6.204,0.135,7476.0,15.82994,4e-05
Kepler908,b,Transit,,,,,,,11.465,,11.255,0.21600000000000003,2144.0,8.07934,0.00065
Kepler908,b,Transit,,,,,,,11.465,,11.255,0.21600000000000003,2144.0,8.07934,0.00065
Kepler743,b,Transit,,,,,,,12.541,,9.086,0.132,553.0,1.96582,7e-05
Kepler136,b,Transit,0.106,,,,,,11.754,,9.412,0.063,3715.0,8.72099,0.00011
Kepler136,c,Transit,0.133,,,,,,11.754,,9.412,0.063,3715.0,8.72099,0.00011
Kepler1008,b,Transit,,,,,,,13.379,,9.59,0.057999999999999996,8417.0,29.5452,7e-05
Kepler1150,b,Transit,,,,,,,14.423,,5.824,0.11699999999999999,5225.0,14.42464,2e-05
Kepler353,b,Transit,0.051,,,,,,15.725,,7.3660000000000005,0.5,5012.0,12.88796,7e-05
Kepler353,c,Transit,0.065,,,,,,15.725,,7.3660000000000005,0.5,5012.0,12.88796,7e-05
Kepler755,b,Transit,,,,,,,14.024,,8.573,0.29100000000000004,832.0,2.06073,0.00012
Kepler755,c,Transit,,,,,,,14.024,,8.573,0.29100000000000004,832.0,2.06073,0.00012
HATP41,b,Transit,,,,0.0,,,10.939,,6.024,0.41600000000000004,1271.0,3.61331,3e-05
Kepler99,b,Transit,,,,,,,12.962,,5.558,0.14800000000000002,3126.0,14.91341,3e-05
Kepler538,b,Transit,0.4669,0.0087,-0.009000000000000001,0.041,0.034,-0.029,11.165,,12.946,0.077,2697.0,17.21297,0.00025
HD188015,b,Radial Velocity,1.203,0.07,-0.07,0.13699999999999998,0.026,-0.026,8.066,,11.609000000000002,0.154,661.0,13.02748,5e-05
Kepler519,b,Transit,,,,,,,12.618,,8.972000000000001,0.10400000000000001,522.0,2.10232,5e-05
HD189733,b,Radial Velocity,,,,0.0,,,7.414,,11.447000000000001,0.243,226.0,11.43749,4e-05
Kepler560,b,Transit,,,,,,,14.751,,8.87,0.26,4436.0,40.4523,0.00029
HD190360,b,Radial Velocity,3.97,0.07,-0.07,0.31,0.02,-0.02,5.534,,11.161,0.153,2851.0,178.05265,6e-05
HD190360,c,Radial Velocity,0.1304,0.0075,-0.0075,0.237,0.08199999999999999,-0.08199999999999999,5.534,,11.161,0.153,2851.0,178.05265,6e-05
WASP68,b,Transit,,,,0.0,,,10.409,,9.378,0.428,2981.0,13.08256,0.00012
HD195019,b,Radial Velocity,0.14,0.0,0.0,0.01,0.0,0.0,6.729,,7.075,0.214,128.0,3.38848,6e-05
HD196050,b,Radial Velocity,2.51,0.05,-0.05,0.23,0.04,-0.04,7.341,,9.962,0.13699999999999998,547.0,,
HD197037,b,Radial Velocity,2.07,0.05,-0.05,0.22,0.07,-0.07,6.671,,9.691,0.23800000000000002,123.0,3.69116,0.00011
HD196067,b,Radial Velocity,5.02,0.19,-0.19,0.66,0.18,-0.09,6.3260000000000005,,3.65,0.209,665.0,16.62532,4e-05
18Del,b,Radial Velocity,2.6,,,0.08,0.01,-0.01,5.244,,11.495,0.239,2233.0,,
HD204941,b,Radial Velocity,2.55,0.08,-0.08,0.37,0.08,-0.08,8.191,,7.934,0.313,1611.0,56.0663,7e-05
WASP114,b,Transit,0.02851,0.00039,-0.00039,0.012,0.022,-0.009000000000000001,16.108,,7.079,0.40700000000000003,2633.0,4.96054,9e-05
HIP109600,b,Radial Velocity,0.706,0.016,-0.016,0.163,0.006,-0.006,9.004,,9.635,0.053,996.0,,
HD212301,b,Radial Velocity,0.03,0.0,0.0,0.0,,,7.635,,10.21,0.122,238.0,4.38539,8e-05
HD213240,b,Radial Velocity,1.89,0.03,-0.03,0.42,0.01,-0.01,6.658,,12.280999999999999,0.205,3913.0,95.63841,8e-05
HD214823,b,Radial Velocity,3.23,0.2,-0.2,0.1641,0.0026,-0.0026,7.916,,7.553,0.32299999999999995,673.0,6.62182,4e-05
WASP75,b,Transit,0.0375,0.0007,-0.0008,0.0,,,11.335,,10.815999999999999,0.139,8958.0,30.22017,0.00022
HATP1,b,Transit,0.05561,0.00082,-0.0008300000000000001,,,,10.179,,3.0660000000000003,0.174,1800.0,11.26789,3e-05
HD220842,b,Radial Velocity,0.74,0.018000000000000002,-0.018000000000000002,0.404,0.009000000000000001,-0.009000000000000001,7.834,,12.355,0.324,340.0,5.25187,0.00023
HIP116454,b,Transit,,,,0.2,0.07,-0.07,9.932,,12.911,0.193,524.0,,
WASP8,b,Transit,,,,0.31,0.0,0.0,9.612,,8.621,0.871,407.0,4.5106,4e-05
WASP8,c,Radial Velocity,5.28,0.63,-0.34,0.0,0.0,0.0,9.612,,8.621,0.871,407.0,4.5106,4e-05
