pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,pl_facility
CoRoT-4,b,CoRoT-4 b,Transit,9.20205,0.00037,-0.00037,0,0.09,0.001,-0.001,0,0,0.1,-0.1,0,741.6,15.39,-15.39,0,13.561,,0,CoRoT
CoRoT-5,b,CoRoT-5 b,Transit,4.0378962,0.0000019,-0.0000019,0,0.04947,0.00026,-0.00029,0,0.09,0.09,-0.04,0,904.65,26.7,-26.7,0,13.902,,0,CoRoT
CoRoT-6,b,CoRoT-6 b,Transit,8.886593,0.000004,-0.000004,0,0.0855,0.0015,-0.0015,0,0.1,,,1,657.24,12.58,-12.58,0,13.746,,0,CoRoT
CoRoT-7,b,CoRoT-7 b,Transit,0.85359163,0.00000001,-0.00000001,0,,,,0,0,,,0,160.64,0.91,-0.91,0,11.524,,0,CoRoT
CoRoT-7,c,CoRoT-7 c,Radial Velocity,3.698,0.003,-0.003,0,0.046,,,0,0,,,0,160.64,0.91,-0.91,0,11.524,,0,CoRoT
CoRoT-8,b,CoRoT-8 b,Transit,6.21229,0.00003,-0.00003,0,0.063,0.001,-0.001,0,0,,,0,380,30,-30,0,14.22,,0,CoRoT
CoRoT-9,b,CoRoT-9 b,Transit,95.272656,0.000068,-0.000068,0,0.4021,0.0054,-0.0054,0,0.133,0.042,-0.037,0,417.89,4.75,-4.75,0,13.501,,0,CoRoT
CoRoTID 223977153,b,CoRoTID 223977153 b,Transit,6.71837,0.00001,-0.00001,0,0.071,0.001,-0.001,0,,,,0,586.2,10.7,-10.7,0,13.587,,0,CoRoT
DE CVn,b,DE CVn b,Eclipse Timing Variations,4098.1,131.5,-131.5,0,5.75,2.02,-2.02,0,0,,,0,30.55,0.03,-0.03,0,11.975,,0,Multiple Facilities
DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,Astrometry,246.36,1.38,-1.35,0,0.36,0.01,-0.01,0,0.345,0.068,-0.064,0,20.77,0.08,-0.08,0,18.558,,0,Paranal Observatory
DH Tau,b,DH Tau b,Imaging,,,,,330,,,0,,,,,140,15,-15,0,12.496,,0,Subaru Telescope
DMPP-1,b,DMPP-1 b,Radial Velocity,18.57,0.01,-0.01,0,0.1462,0.0012,-0.0012,0,0.083,,,1,62,1,-1,0,7.85,,0,La Silla Observatory
DMPP-1,c,DMPP-1 c,Radial Velocity,6.584,0.003,-0.002,0,0.0733,0.0006,-0.0007,0,0.057,,,1,62,1,-1,0,7.85,,0,La Silla Observatory
DMPP-1,d,DMPP-1 d,Radial Velocity,2.882,0.001,-0.001,0,0.0422,0.0004,-0.0003,0,0.07,,,1,62,1,-1,0,7.85,,0,La Silla Observatory
DMPP-1,e,DMPP-1 e,Radial Velocity,5.516,0.002,-0.004,0,0.0651,0.0005,-0.0005,0,0.07,,,1,62,1,-1,0,7.85,,0,La Silla Observatory
DMPP-2,b,DMPP-2 b,Radial Velocity,5.2072,0.0002,-0.0055,0,0.0664,0.0005,-0.0005,0,0.078,,,0,134,4,-4,0,8.458,,0,Multiple Facilities
DMPP-3 A,b,DMPP-3 A b,Radial Velocity,6.6732,0.0011,-0.0003,0,0.0662,0.0013,-0.0013,0,0.14,0.091,-0.053,0,48.9,0.6,-0.6,0,8.854,,0,La Silla Observatory
