pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_gmag,gaia_gmagerr,gaia_gmaglim,pl_facility
Kepler-234,c,Kepler-234 c,Transit,7.21205,0.000022,-0.000022,0,0.077,,,0,,,,,1821.01,96.9,-96.9,0,15.501,,0,Kepler
Kepler-235,b,Kepler-235 b,Transit,3.340222,0.000005,-0.000005,0,0.037,,,0,,,,,433.24,6.7,-6.7,0,15.969,,0,Kepler
Kepler-235,c,Kepler-235 c,Transit,7.824904,0.000055,-0.000055,0,0.065,,,0,,,,,433.24,6.7,-6.7,0,15.969,,0,Kepler
Kepler-235,d,Kepler-235 d,Transit,20.060548,0.000099,-0.000099,0,0.122,,,0,,,,,433.24,6.7,-6.7,0,15.969,,0,Kepler
Kepler-235,e,Kepler-235 e,Transit,46.183669,0.000425,-0.000425,0,0.213,,,0,,,,,433.24,6.7,-6.7,0,15.969,,0,Kepler
Kepler-236,b,Kepler-236 b,Transit,8.295611,0.000032,-0.000032,0,0.065,,,0,,,,,291.17,2.29,-2.29,0,15.374,,0,Kepler
Kepler-236,c,Kepler-236 c,Transit,23.968127,0.000174,-0.000174,0,0.132,,,0,,,,,291.17,2.29,-2.29,0,15.374,,0,Kepler
Kepler-237,b,Kepler-237 b,Transit,4.715106,0.00003,-0.00003,0,0.05,,,0,,,,,670.41,10.59,-10.59,0,15.283,,0,Kepler
Kepler-237,c,Kepler-237 c,Transit,8.103636,0.000032,-0.000032,0,0.071,,,0,,,,,670.41,10.59,-10.59,0,15.283,,0,Kepler
Kepler-238,b,Kepler-238 b,Transit,2.090876,0.00002,-0.00002,0,0.034,,,0,,,,,1897.73,79.95,-79.95,0,15.024,,0,Kepler
Kepler-238,c,Kepler-238 c,Transit,6.155557,0.00005,-0.00005,0,0.069,,,0,,,,,1897.73,79.95,-79.95,0,15.024,,0,Kepler
Kepler-238,d,Kepler-238 d,Transit,13.233549,0.000081,-0.000081,0,0.115,,,0,,,,,1897.73,79.95,-79.95,0,15.024,,0,Kepler
Kepler-238,e,Kepler-238 e,Transit,23.654,,,0,,,,,,,,,1897.73,79.95,-79.95,0,15.024,,0,Kepler
Kepler-238,f,Kepler-238 f,Transit,50.447,,,0,,,,,,,,,1897.73,79.95,-79.95,0,15.024,,0,Kepler
Kepler-239,b,Kepler-239 b,Transit,11.763051,0.000034,-0.000034,0,0.095,,,0,,,,,660.07,13.72,-13.72,0,15.233,,0,Kepler
Kepler-239,c,Kepler-239 c,Transit,56.228098,0.00058,-0.00058,0,0.268,,,0,,,,,660.07,13.72,-13.72,0,15.233,,0,Kepler
Kepler-24,b,Kepler-24 b,Transit,8.1453,,,0,0.08,,,0,,,,,1195.99,34.01,-34.01,0,14.923,,0,Kepler
Kepler-24,c,Kepler-24 c,Transit,12.3335,,,0,0.106,,,0,,,,,1195.99,34.01,-34.01,0,14.923,,0,Kepler
Kepler-24,d,Kepler-24 d,Transit,4.244384,0.000053,-0.000053,0,0.051,,,0,,,,,1195.99,34.01,-34.01,0,14.923,,0,Kepler
Kepler-24,e,Kepler-24 e,Transit,18.998355,0.000157,-0.000157,0,0.138,,,0,,,,,1195.99,34.01,-34.01,0,14.923,,0,Kepler
Kepler-240,b,Kepler-240 b,Transit,4.144495,0.000026,-0.000026,0,0.048,,,0,,,,,762.74,20.31,-20.31,0,15.662,,0,Kepler
Kepler-240,c,Kepler-240 c,Transit,7.953528,0.000025,-0.000025,0,0.074,,,0,,,,,762.74,20.31,-20.31,0,15.662,,0,Kepler
Kepler-241,b,Kepler-241 b,Transit,12.718092,0.000035,-0.000035,0,0.094,,,0,,,,,609.86,40.44,-40.44,0,15.387,,0,Kepler
Kepler-241,c,Kepler-241 c,Transit,36.065978,0.000133,-0.000133,0,0.189,,,0,,,,,609.86,40.44,-40.44,0,15.387,,0,Kepler
Kepler-242,b,Kepler-242 b,Transit,8.20395,0.00002,-0.00002,0,0.075,,,0,,,,,610.6,11.44,-11.44,0,15.349,,0,Kepler
Kepler-242,c,Kepler-242 c,Transit,14.496481,0.000083,-0.000083,0,0.109,,,0,,,,,610.6,11.44,-11.44,0,15.349,,0,Kepler
Kepler-243,b,Kepler-243 b,Transit,5.715442,0.000011,-0.000011,0,0.062,,,0,,,,,707.94,9.98,-9.98,0,15.057,,0,Kepler
Kepler-243,c,Kepler-243 c,Transit,20.026218,0.000163,-0.000163,0,0.142,,,0,,,,,707.94,9.98,-9.98,0,15.057,,0,Kepler
Kepler-244,b,Kepler-244 b,Transit,4.311792,0.000008,-0.000008,0,0.05,,,0,,,,,1067.62,36.93,-36.93,0,15.545,,0,Kepler
Kepler-244,c,Kepler-244 c,Transit,9.767292,0.000046,-0.000046,0,0.087,,,0,,,,,1067.62,36.93,-36.93,0,15.545,,0,Kepler
Kepler-244,d,Kepler-244 d,Transit,20.050401,0.00013,-0.00013,0,0.14,,,0,,,,,1067.62,36.93,-36.93,0,15.545,,0,Kepler
Kepler-245,b,Kepler-245 b,Transit,7.49019,0.000019,-0.000019,0,0.071,,,0,,,,,882.65,26.34,-26.34,0,15.597,,0,Kepler
Kepler-245,c,Kepler-245 c,Transit,17.460812,0.000076,-0.000076,0,0.124,,,0,,,,,882.65,26.34,-26.34,0,15.597,,0,Kepler
Kepler-245,d,Kepler-245 d,Transit,36.277108,0.000173,-0.000173,0,0.202,,,0,,,,,882.65,26.34,-26.34,0,15.597,,0,Kepler
Kepler-245,e,Kepler-245 e,Transit,3.21982106,0.00000474,-0.00000474,0,,,,,,,,,882.65,26.34,-26.34,0,15.597,,0,Kepler
Kepler-246,b,Kepler-246 b,Transit,4.60182,0.000008,-0.000008,0,0.052,,,0,,,,,637.44,9.19,-9.19,0,15.042,,0,Kepler
Kepler-246,c,Kepler-246 c,Transit,11.187161,0.000075,-0.000075,0,0.095,,,0,,,,,637.44,9.19,-9.19,0,15.042,,0,Kepler
Kepler-247,b,Kepler-247 b,Transit,3.33616,0.000007,-0.000007,0,0.042,,,0,,,,,676.38,14.02,-14.02,0,15.047,,0,Kepler
Kepler-247,c,Kepler-247 c,Transit,9.439452,0.000007,-0.000007,0,0.084,,,0,,,,,676.38,14.02,-14.02,0,15.047,,0,Kepler
Kepler-247,d,Kepler-247 d,Transit,20.477912,0.000026,-0.000026,0,0.14,,,0,,,,,676.38,14.02,-14.02,0,15.047,,0,Kepler
Kepler-248,b,Kepler-248 b,Transit,6.308205,0.00001,-0.00001,0,0.066,,,0,,,,,754.65,13.19,-13.19,0,15.233,,0,Kepler
Kepler-248,c,Kepler-248 c,Transit,16.239494,0.000024,-0.000024,0,0.123,,,0,,,,,754.65,13.19,-13.19,0,15.233,,0,Kepler
Kepler-249,b,Kepler-249 b,Transit,3.306539,0.00001,-0.00001,0,0.035,,,0,,,,,191.44,1.22,-1.22,0,15.23,,0,Kepler
Kepler-249,c,Kepler-249 c,Transit,7.113702,0.000018,-0.000018,0,0.058,,,0,,,,,191.44,1.22,-1.22,0,15.23,,0,Kepler
Kepler-249,d,Kepler-249 d,Transit,15.368459,0.00007,-0.00007,0,0.097,,,0,,,,,191.44,1.22,-1.22,0,15.23,,0,Kepler
Kepler-25,b,Kepler-25 b,Transit,6.238297,0.000017,-0.000017,0,,,,0,0.0029,0.0023,-0.0017,0,244.96,1.41,-1.41,0,10.632,,0,Kepler
Kepler-25,c,Kepler-25 c,Transit,12.7207,0.00011,-0.0001,0,,,,0,0.0061,0.0049,-0.0041,0,244.96,1.41,-1.41,0,10.632,,0,Kepler
Kepler-25,d,Kepler-25 d,Radial Velocity,122.4,0.8,-0.71,0,,,,0,0.13,0.13,-0.09,0,244.96,1.41,-1.41,0,10.632,,0,W. M. Keck Observatory
Kepler-250,b,Kepler-250 b,Transit,4.148141,0.000046,-0.000046,0,0.048,,,0,,,,,777.31,17.16,-17.16,0,15.414,,0,Kepler
Kepler-250,c,Kepler-250 c,Transit,7.156804,0.000022,-0.000022,0,0.069,,,0,,,,,777.31,17.16,-17.16,0,15.414,,0,Kepler
Kepler-250,d,Kepler-250 d,Transit,17.648312,0.000081,-0.000081,0,0.127,,,0,,,,,777.31,17.16,-17.16,0,15.414,,0,Kepler
Kepler-251,b,Kepler-251 b,Transit,4.790936,0.000037,-0.000037,0,0.053,,,0,,,,,948.98,27.65,-27.65,0,15.216,,0,Kepler
Kepler-251,c,Kepler-251 c,Transit,16.514043,0.000054,-0.000054,0,0.122,,,0,,,,,948.98,27.65,-27.65,0,15.216,,0,Kepler
Kepler-251,d,Kepler-251 d,Transit,30.133001,0.000161,-0.000161,0,0.182,,,0,,,,,948.98,27.65,-27.65,0,15.216,,0,Kepler
Kepler-251,e,Kepler-251 e,Transit,99.640161,0.001074,-0.001074,0,0.404,,,0,,,,,948.98,27.65,-27.65,0,15.216,,0,Kepler
Kepler-252,b,Kepler-252 b,Transit,6.668391,0.000031,-0.000031,0,0.058,,,0,,,,,383.59,3.53,-3.53,0,15.029,,0,Kepler
Kepler-252,c,Kepler-252 c,Transit,10.848463,0.000015,-0.000015,0,0.08,,,0,,,,,383.59,3.53,-3.53,0,15.029,,0,Kepler
Kepler-253,b,Kepler-253 b,Transit,3.783986,0.000017,-0.000017,0,0.046,,,0,,,,,858.93,20.66,-20.66,0,15.512,,0,Kepler
Kepler-253,c,Kepler-253 c,Transit,10.281951,0.000032,-0.000032,0,0.089,,,0,,,,,858.93,20.66,-20.66,0,15.512,,0,Kepler
Kepler-253,d,Kepler-253 d,Transit,18.119869,0.000066,-0.000066,0,0.13,,,0,,,,,858.93,20.66,-20.66,0,15.512,,0,Kepler
Kepler-254,b,Kepler-254 b,Transit,5.826662,0.00001,-0.00001,0,0.064,,,0,,,,,1446.45,75.9,-75.9,0,15.838,,0,Kepler
Kepler-254,c,Kepler-254 c,Transit,12.412183,0.000082,-0.000082,0,0.105,,,0,,,,,1446.45,75.9,-75.9,0,15.838,,0,Kepler
Kepler-254,d,Kepler-254 d,Transit,18.746477,0.000121,-0.000121,0,0.139,,,0,,,,,1446.45,75.9,-75.9,0,15.838,,0,Kepler
Kepler-255,b,Kepler-255 b,Transit,5.714606,0.000052,-0.000052,0,0.063,,,0,,,,,1084.5,32.69,-32.69,0,15.528,,0,Kepler
Kepler-255,c,Kepler-255 c,Transit,9.946047,0.000035,-0.000035,0,0.092,,,0,,,,,1084.5,32.69,-32.69,0,15.528,,0,Kepler
Kepler-255,d,Kepler-255 d,Transit,1.04562266,0.00000267,-0.00000267,0,,,,,,,,,1084.5,32.69,-32.69,0,15.528,,0,Kepler
Kepler-256,b,Kepler-256 b,Transit,1.620493,0.000009,-0.000009,0,0.027,,,0,,,,,1057.36,24.9,-24.9,0,15.015,,0,Kepler
Kepler-256,c,Kepler-256 c,Transit,3.38802,0.000016,-0.000016,0,0.045,,,0,,,,,1057.36,24.9,-24.9,0,15.015,,0,Kepler
Kepler-256,d,Kepler-256 d,Transit,5.839172,0.000031,-0.000031,0,0.064,,,0,,,,,1057.36,24.9,-24.9,0,15.015,,0,Kepler
Kepler-256,e,Kepler-256 e,Transit,10.681572,0.000066,-0.000066,0,0.096,,,0,,,,,1057.36,24.9,-24.9,0,15.015,,0,Kepler
Kepler-257,b,Kepler-257 b,Transit,2.382667,0.000006,-0.000006,0,0.034,,,0,,,,,797.75,17.8,-17.8,0,15.422,,0,Kepler
Kepler-257,c,Kepler-257 c,Transit,6.581484,0.000008,-0.000008,0,0.066,,,0,,,,,797.75,17.8,-17.8,0,15.422,,0,Kepler
Kepler-257,d,Kepler-257 d,Transit,24.664551,0.000051,-0.000051,0,0.16,,,0,,,,,797.75,17.8,-17.8,0,15.422,,0,Kepler
Kepler-258,b,Kepler-258 b,Transit,13.19722,0.000019,-0.000019,0,0.103,,,0,,,,,585.6,8.39,-8.39,0,15.201,,0,Kepler
Kepler-258,c,Kepler-258 c,Transit,33.653079,0.000189,-0.000189,0,0.193,,,0,,,,,585.6,8.39,-8.39,0,15.201,,0,Kepler
Kepler-259,b,Kepler-259 b,Transit,8.115317,0.000022,-0.000022,0,0.079,,,0,,,,,1031.58,27.01,-27.01,0,15.169,,0,Kepler
Kepler-259,c,Kepler-259 c,Transit,36.924931,0.000181,-0.000181,0,0.217,,,0,,,,,1031.58,27.01,-27.01,0,15.169,,0,Kepler
Kepler-26,b,Kepler-26 b,Transit,12.28,0.0003,-0.0003,0,,,,,,,,,338.55,3.09,-3.09,0,15.409,,0,Kepler
Kepler-26,c,Kepler-26 c,Transit,17.2559,0.0006,-0.0006,0,,,,,,,,,338.55,3.09,-3.09,0,15.409,,0,Kepler
Kepler-26,d,Kepler-26 d,Transit,3.543919,0.000015,-0.000015,0,0.039,,,0,,,,,338.55,3.09,-3.09,0,15.409,,0,Kepler
Kepler-26,e,Kepler-26 e,Transit,46.827915,0.000173,-0.000173,0,0.22,,,0,,,,,338.55,3.09,-3.09,0,15.409,,0,Kepler
Kepler-260,b,Kepler-260 b,Transit,8.187399,0.000022,-0.000022,0,0.075,,,0,,,,,638.85,7.47,-7.47,0,14.118,,0,Kepler
Kepler-260,c,Kepler-260 c,Transit,76.050178,0.001026,-0.001026,0,0.332,,,0,,,,,638.85,7.47,-7.47,0,14.118,,0,Kepler
Kepler-261,b,Kepler-261 b,Transit,10.381227,0.000016,-0.000016,0,0.088,,,0,,,,,320.43,1.77,-1.77,0,13.529,,0,Kepler
Kepler-261,c,Kepler-261 c,Transit,24.570858,0.000069,-0.000069,0,0.156,,,0,,,,,320.43,1.77,-1.77,0,13.529,,0,Kepler
Kepler-262,b,Kepler-262 b,Transit,13.060855,0.000164,-0.000164,0,0.108,,,0,,,,,624.08,7.81,-7.81,0,14.224,,0,Kepler
Kepler-262,c,Kepler-262 c,Transit,21.853722,0.000187,-0.000187,0,0.152,,,0,,,,,624.08,7.81,-7.81,0,14.224,,0,Kepler
Kepler-263,b,Kepler-263 b,Transit,16.568087,0.000065,-0.000065,0,0.12,,,0,,,,,771.09,16.6,-16.6,0,15.417,,0,Kepler
Kepler-263,c,Kepler-263 c,Transit,47.332773,0.000456,-0.000456,0,0.242,,,0,,,,,771.09,16.6,-16.6,0,15.417,,0,Kepler
Kepler-264,b,Kepler-264 b,Transit,40.806231,0.000538,-0.000538,0,0.249,,,0,,,,,968.15,18.59,-18.59,0,13.013,,0,Kepler
Kepler-264,c,Kepler-264 c,Transit,140.101261,0.003678,-0.003678,0,0.566,,,0,,,,,968.15,18.59,-18.59,0,13.013,,0,Kepler
Kepler-265,b,Kepler-265 b,Transit,6.846262,0.000063,-0.000063,0,0.069,,,0,,,,,1328.21,49.37,-49.37,0,15.352,,0,Kepler
Kepler-265,c,Kepler-265 c,Transit,17.028937,0.000136,-0.000136,0,0.127,,,0,,,,,1328.21,49.37,-49.37,0,15.352,,0,Kepler
Kepler-265,d,Kepler-265 d,Transit,43.130617,0.000658,-0.000658,0,0.236,,,0,,,,,1328.21,49.37,-49.37,0,15.352,,0,Kepler
Kepler-265,e,Kepler-265 e,Transit,67.831024,0.001396,-0.001396,0,0.319,,,0,,,,,1328.21,49.37,-49.37,0,15.352,,0,Kepler
Kepler-266,b,Kepler-266 b,Transit,6.61833,0.000048,-0.000048,0,0.071,,,0,,,,,1425.27,58.55,-58.55,0,15.577,,0,Kepler
Kepler-266,c,Kepler-266 c,Transit,107.723601,0.001643,-0.001643,0,0.457,,,0,,,,,1425.27,58.55,-58.55,0,15.577,,0,Kepler
Kepler-267,b,Kepler-267 b,Transit,3.353728,0.000007,-0.000007,0,0.037,,,0,,,,,267,2.51,-2.51,0,15.469,,0,Kepler
Kepler-267,c,Kepler-267 c,Transit,6.87745,0.000016,-0.000016,0,0.06,,,0,,,,,267,2.51,-2.51,0,15.469,,0,Kepler
Kepler-267,d,Kepler-267 d,Transit,28.464515,0.00018,-0.00018,0,0.154,,,0,,,,,267,2.51,-2.51,0,15.469,,0,Kepler
Kepler-268,b,Kepler-268 b,Transit,25.934138,0.000142,-0.000142,0,0.18,,,0,,,,,873.21,12.13,-12.13,0,13.668,,0,Kepler
Kepler-268,c,Kepler-268 c,Transit,83.446393,0.000761,-0.000761,0,0.391,,,0,,,,,873.21,12.13,-12.13,0,13.668,,0,Kepler
Kepler-269,b,Kepler-269 b,Transit,5.326718,0.000035,-0.000035,0,0.061,,,0,,,,,2418.83,198.48,-198.48,0,15.735,,0,Kepler
Kepler-269,c,Kepler-269 c,Transit,8.127899,0.000149,-0.000149,0,0.081,,,0,,,,,2418.83,198.48,-198.48,0,15.735,,0,Kepler
Kepler-27,b,Kepler-27 b,Transit,15.3348,,,0,0.118,,,0,,,,,1075.1,41.63,-41.63,0,15.816,,0,Kepler
Kepler-27,c,Kepler-27 c,Transit,31.3309,,,0,0.191,,,0,,,,,1075.1,41.63,-41.63,0,15.816,,0,Kepler
Kepler-270,b,Kepler-270 b,Transit,11.476094,0.000071,-0.000071,0,0.107,,,0,,,,,975.46,13.48,-13.48,0,13.859,,0,Kepler
Kepler-270,c,Kepler-270 c,Transit,25.262887,0.000599,-0.000599,0,0.18,,,0,,,,,975.46,13.48,-13.48,0,13.859,,0,Kepler
Kepler-271,b,Kepler-271 b,Transit,10.43547805,0.000027,-0.000027,0,,,,,,,,,418,22.86,-21.43,0,13.428,,0,Kepler
Kepler-271,c,Kepler-271 c,Transit,7.41086267,0.00003305,-0.00003305,0,,,,,,,,,418,22.86,-21.43,0,13.428,,0,Kepler
Kepler-271,d,Kepler-271 d,Transit,5.24972541,0.00004062,-0.00004062,0,,,,,,,,,418,22.86,-21.43,0,13.428,,0,Kepler
Kepler-272,b,Kepler-272 b,Transit,2.971353,0.000017,-0.000017,0,0.038,,,0,,,,,912.85,14.53,-14.53,0,14.659,,0,Kepler
Kepler-272,c,Kepler-272 c,Transit,6.057342,0.000037,-0.000037,0,0.061,,,0,,,,,912.85,14.53,-14.53,0,14.659,,0,Kepler
Kepler-272,d,Kepler-272 d,Transit,10.937304,0.000073,-0.000073,0,0.091,,,0,,,,,912.85,14.53,-14.53,0,14.659,,0,Kepler
Kepler-273,b,Kepler-273 b,Transit,2.936532,0.000009,-0.000009,0,0.037,,,0,,,,,728.85,11.5,-11.5,0,14.968,,0,Kepler
Kepler-273,c,Kepler-273 c,Transit,8.014927,0.000052,-0.000052,0,0.073,,,0,,,,,728.85,11.5,-11.5,0,14.968,,0,Kepler
Kepler-274,b,Kepler-274 b,Transit,11.634788,0.000134,-0.000134,0,0.101,,,0,,,,,1385.51,45.77,-45.77,0,15.032,,0,Kepler
Kepler-274,c,Kepler-274 c,Transit,33.197861,0.000894,-0.000894,0,0.204,,,0,,,,,1385.51,45.77,-45.77,0,15.032,,0,Kepler
Kepler-275,b,Kepler-275 b,Transit,10.300682,0.000254,-0.000254,0,0.098,,,0,,,,,2155.2,144.73,-144.73,0,15.287,,0,Kepler
Kepler-275,c,Kepler-275 c,Transit,16.088134,0.000164,-0.000164,0,0.132,,,0,,,,,2155.2,144.73,-144.73,0,15.287,,0,Kepler
Kepler-275,d,Kepler-275 d,Transit,35.676062,0.000641,-0.000641,0,0.224,,,0,,,,,2155.2,144.73,-144.73,0,15.287,,0,Kepler
Kepler-276,b,Kepler-276 b,Transit,14.12841,0.000111,-0.000111,0,0.119,,,0,,,,,1181.73,46.92,-46.92,0,15.365,,0,Kepler
Kepler-276,c,Kepler-276 c,Transit,31.884,,,0,,,,,,,,,1181.73,46.92,-46.92,0,15.365,,0,Kepler
Kepler-276,d,Kepler-276 d,Transit,48.648,,,0,,,,,,,,,1181.73,46.92,-46.92,0,15.365,,0,Kepler
Kepler-277,b,Kepler-277 b,Transit,17.324,,,0,,,,,,,,,1004.88,16.28,-16.28,0,13.388,,0,Kepler
Kepler-277,c,Kepler-277 c,Transit,33.006,,,0,,,,,,,,,1004.88,16.28,-16.28,0,13.388,,0,Kepler
Kepler-278,b,Kepler-278 b,Transit,30.160546,0.000311,-0.000311,0,0.207,,,0,,,,,448.65,6.38,-6.38,0,11.53,,0,Kepler
Kepler-278,c,Kepler-278 c,Transit,51.078775,0.00089,-0.00089,0,0.294,,,0,,,,,448.65,6.38,-6.38,0,11.53,,0,Kepler
Kepler-279,b,Kepler-279 b,Transit,12.309681,0.000051,-0.000051,0,0.112,,,0,,,,,1069.2,22.71,-22.71,0,13.585,,0,Kepler
Kepler-279,c,Kepler-279 c,Transit,35.736,,,0,,,,,,,,,1069.2,22.71,-22.71,0,13.585,,0,Kepler
Kepler-279,d,Kepler-279 d,Transit,54.414,,,0,,,,,,,,,1069.2,22.71,-22.71,0,13.585,,0,Kepler
Kepler-28,b,Kepler-28 b,Transit,5.9123,,,0,0.062,,,0,,,,,443.92,4.75,-4.75,0,15.026,,0,Kepler
Kepler-28,c,Kepler-28 c,Transit,8.9858,,,0,0.081,,,0,,,,,443.92,4.75,-4.75,0,15.026,,0,Kepler
Kepler-280,b,Kepler-280 b,Transit,2.139542,0.000006,-0.000006,0,0.032,,,0,,,,,798.21,11.73,-11.73,0,14.457,,0,Kepler
Kepler-280,c,Kepler-280 c,Transit,4.807091,0.000009,-0.000009,0,0.056,,,0,,,,,798.21,11.73,-11.73,0,14.457,,0,Kepler
Kepler-281,b,Kepler-281 b,Transit,14.646008,0.000139,-0.000139,0,0.117,,,0,,,,,1835,106.93,-106.93,0,15.754,,0,Kepler
Kepler-281,c,Kepler-281 c,Transit,36.337373,0.000111,-0.000111,0,0.215,,,0,,,,,1835,106.93,-106.93,0,15.754,,0,Kepler
Kepler-282,b,Kepler-282 b,Transit,9.220524,0.000341,-0.000341,0,0.082,,,0,,,,,1390.97,46.4,-46.4,0,15.178,,0,Kepler
Kepler-282,c,Kepler-282 c,Transit,13.638723,0.000491,-0.000491,0,0.106,,,0,,,,,1390.97,46.4,-46.4,0,15.178,,0,Kepler
Kepler-282,d,Kepler-282 d,Transit,24.806,,,0,,,,,,,,,1390.97,46.4,-46.4,0,15.178,,0,Kepler
Kepler-282,e,Kepler-282 e,Transit,44.347,,,0,,,,,,,,,1390.97,46.4,-46.4,0,15.178,,0,Kepler
Kepler-283,b,Kepler-283 b,Transit,11.008151,0.000029,-0.000029,0,0.082,,,0,,,,,474.33,7.96,-7.96,0,15.875,,0,Kepler
Kepler-283,c,Kepler-283 c,Transit,92.743711,0.001413,-0.001413,0,0.341,,,0,,,,,474.33,7.96,-7.96,0,15.875,,0,Kepler
Kepler-284,b,Kepler-284 b,Transit,12.699149,0.000071,-0.000071,0,0.104,,,0,,,,,1062.79,34.04,-34.04,0,15.813,,0,Kepler
Kepler-284,c,Kepler-284 c,Transit,37.514456,0.00035,-0.00035,0,0.213,,,0,,,,,1062.79,34.04,-34.04,0,15.813,,0,Kepler
Kepler-285,b,Kepler-285 b,Transit,2.633867,0.000012,-0.000012,0,0.036,,,0,,,,,844.17,16.34,-16.34,0,15.152,,0,Kepler
Kepler-285,c,Kepler-285 c,Transit,6.186676,0.000059,-0.000059,0,0.064,,,0,,,,,844.17,16.34,-16.34,0,15.152,,0,Kepler
Kepler-286,b,Kepler-286 b,Transit,1.796302,0.000009,-0.000009,0,0.027,,,0,,,,,1266.68,111.53,-111.53,0,15.545,,0,Kepler
Kepler-286,c,Kepler-286 c,Transit,3.468095,0.000023,-0.000023,0,0.042,,,0,,,,,1266.68,111.53,-111.53,0,15.545,,0,Kepler
Kepler-286,d,Kepler-286 d,Transit,5.914323,0.000054,-0.000054,0,0.061,,,0,,,,,1266.68,111.53,-111.53,0,15.545,,0,Kepler
Kepler-286,e,Kepler-286 e,Transit,29.221289,0.00037,-0.00037,0,0.176,,,0,,,,,1266.68,111.53,-111.53,0,15.545,,0,Kepler
Kepler-287,b,Kepler-287 b,Transit,20.342199,0.000084,-0.000084,0,0.145,,,0,,,,,856.33,15.73,-15.73,0,14.744,,0,Kepler
Kepler-287,c,Kepler-287 c,Transit,44.851896,0.000247,-0.000247,0,0.246,,,0,,,,,856.33,15.73,-15.73,0,14.744,,0,Kepler
Kepler-288,b,Kepler-288 b,Transit,6.097326,0.000064,-0.000064,0,0.065,,,0,,,,,1236.21,35.63,-35.63,0,15.152,,0,Kepler
Kepler-288,c,Kepler-288 c,Transit,19.305772,0.000135,-0.000135,0,0.14,,,0,,,,,1236.21,35.63,-35.63,0,15.152,,0,Kepler
Kepler-288,d,Kepler-288 d,Transit,56.633742,0.000908,-0.000908,0,0.287,,,0,,,,,1236.21,35.63,-35.63,0,15.152,,0,Kepler
Kepler-289,b,Kepler-289 b,Transit,34.545,0.0005,-0.0005,0,0.21,0.01,-0.01,0,,,,,700,14,-14,0,13.963,,0,Kepler
Kepler-289,c,Kepler-289 c,Transit,125.8518,0.0076,-0.0076,0,0.51,0.03,-0.03,0,,,,,700,14,-14,0,13.963,,0,Kepler
Kepler-289,d,Kepler-289 d,Transit,66.0634,0.0114,-0.0114,0,0.33,0.02,-0.02,0,,,,,700,14,-14,0,13.963,,0,Kepler
Kepler-29,b,Kepler-29 b,Transit,10.3384,0.0003,-0.0003,0,,,,,,,,,851.9,27.37,-27.37,0,15.282,,0,Kepler
Kepler-29,c,Kepler-29 c,Transit,13.2884,0.0005,-0.0005,0,,,,,,,,,851.9,27.37,-27.37,0,15.282,,0,Kepler
Kepler-290,b,Kepler-290 b,Transit,14.589347,0.000066,-0.000066,0,0.11,,,0,,,,,708.55,14.69,-14.69,0,15.565,,0,Kepler
Kepler-290,c,Kepler-290 c,Transit,36.77031,0.000183,-0.000183,0,0.205,,,0,,,,,708.55,14.69,-14.69,0,15.565,,0,Kepler
Kepler-291,b,Kepler-291 b,Transit,3.546511,0.000016,-0.000016,0,0.047,,,0,,,,,1884.37,118.46,-118.46,0,15.898,,0,Kepler
Kepler-291,c,Kepler-291 c,Transit,5.700786,0.000055,-0.000055,0,0.065,,,0,,,,,1884.37,118.46,-118.46,0,15.898,,0,Kepler
Kepler-292,b,Kepler-292 b,Transit,2.580827,0.00002,-0.00002,0,0.035,,,0,,,,,1087.23,46.14,-46.14,0,15.942,,0,Kepler
Kepler-292,c,Kepler-292 c,Transit,3.715335,0.000033,-0.000033,0,0.045,,,0,,,,,1087.23,46.14,-46.14,0,15.942,,0,Kepler
Kepler-292,d,Kepler-292 d,Transit,7.055679,0.000043,-0.000043,0,0.068,,,0,,,,,1087.23,46.14,-46.14,0,15.942,,0,Kepler
Kepler-292,e,Kepler-292 e,Transit,11.97901,0.000101,-0.000101,0,0.097,,,0,,,,,1087.23,46.14,-46.14,0,15.942,,0,Kepler
Kepler-292,f,Kepler-292 f,Transit,20.834237,0.000184,-0.000184,0,0.141,,,0,,,,,1087.23,46.14,-46.14,0,15.942,,0,Kepler
Kepler-293,b,Kepler-293 b,Transit,19.254196,0.000079,-0.000079,0,0.144,,,0,,,,,1002.51,23.89,-23.89,0,15.333,,0,Kepler
Kepler-293,c,Kepler-293 c,Transit,54.155743,0.000466,-0.000466,0,0.286,,,0,,,,,1002.51,23.89,-23.89,0,15.333,,0,Kepler
Kepler-294,b,Kepler-294 b,Transit,3.701212,0.000025,-0.000025,0,0.048,,,0,,,,,1411.62,61.83,-61.83,0,15.819,,0,Kepler
Kepler-294,c,Kepler-294 c,Transit,6.6264,0.000028,-0.000028,0,0.071,,,0,,,,,1411.62,61.83,-61.83,0,15.819,,0,Kepler
Kepler-295,b,Kepler-295 b,Transit,12.645164,0.000181,-0.000181,0,0.099,,,0,,,,,1787.33,77.39,-77.39,0,14.433,,0,Kepler
Kepler-295,c,Kepler-295 c,Transit,21.526258,0.000336,-0.000336,0,0.142,,,0,,,,,1787.33,77.39,-77.39,0,14.433,,0,Kepler
