pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_cbflag,pl_facility
CoRoT-9,b,CoRoT-9 b,Transit,0.4021,0.0054,-0.0054,0,0.133,0.042,-0.037,0,0,CoRoT
CoRoTID 223977153,b,CoRoTID 223977153 b,Transit,0.071,0.001,-0.001,0,,,,0,0,CoRoT
DE CVn,b,DE CVn b,Eclipse Timing Variations,5.75,2.02,-2.02,0,0,,,0,1,Multiple Facilities
DENIS-P J082303.1-491201,b,DENIS-P J082303.1-491201 b,Astrometry,0.36,0.01,-0.01,0,0.345,0.068,-0.064,0,0,Paranal Observatory
DH Tau,b,DH Tau b,Imaging,330,,,0,,,,,0,Subaru Telescope
DMPP-1,b,DMPP-1 b,Radial Velocity,0.1462,0.0012,-0.0012,0,0.083,,,1,0,La Silla Observatory
DMPP-1,c,DMPP-1 c,Radial Velocity,0.0733,0.0006,-0.0007,0,0.057,,,1,0,La Silla Observatory
DMPP-1,d,DMPP-1 d,Radial Velocity,0.0422,0.0004,-0.0003,0,0.07,,,1,0,La Silla Observatory
DMPP-1,e,DMPP-1 e,Radial Velocity,0.0651,0.0005,-0.0005,0,0.07,,,1,0,La Silla Observatory
DMPP-2,b,DMPP-2 b,Radial Velocity,0.0664,0.0005,-0.0005,0,0.078,,,0,0,Multiple Facilities
DMPP-3 A,b,DMPP-3 A b,Radial Velocity,0.0662,0.0013,-0.0013,0,0.14,0.091,-0.053,0,0,La Silla Observatory
DP Leo,b,DP Leo b,Eclipse Timing Variations,8.19,0.39,-0.39,0,0.39,0.13,-0.13,0,1,Yunnan Astronomical Observatory
DS Tuc A,b,DS Tuc A b,Transit,,,,0,0,,,0,0,Transiting Exoplanet Survey Satellite (TESS)
EPIC 201238110,b,EPIC 201238110 b,Transit,,,,0,,,,0,0,K2
EPIC 201497682,b,EPIC 201497682 b,Transit,,,,0,,,,0,0,K2
K2-166,c,EPIC 201615463 c,Transit,,,,0,,,,0,0,K2
K2-16,d,EPIC 201754305 d,Transit,,,,0,,,,0,0,K2
K2-50,c,EPIC 201833600 c,Transit,,,,0,,,,0,0,K2
EPIC 201841433,b,EPIC 201841433 b,Transit,,,,0,,,,0,0,K2
K2-168,c,EPIC 205950854 c,Transit,,,,0,,,,0,0,K2
EPIC 206024342,b,EPIC 206024342 b,Transit,,,,0,,,,0,0,K2
EPIC 206032309,b,EPIC 206032309 b,Transit,,,,0,,,,0,0,K2
EPIC 206042996,b,EPIC 206042996 b,Transit,,,,0,,,,0,0,K2
EPIC 206215704,b,EPIC 206215704 b,Transit,,,,0,,,,0,0,K2
EPIC 206317286,b,EPIC 206317286 b,Transit,,,,0,,,,0,0,K2
EPIC 211822797,b,EPIC 211822797 b,Transit,0.131,0.004,-0.005,0,0.06,0.13597,-0.048705,0,0,K2
EPIC 211945201,b,EPIC 211945201 b,Transit,0.1493,0.0015,-0.0015,0,,,,0,0,K2
EPIC 212297394,b,EPIC 212297394 b,Transit,,,,0,,,,0,0,K2
EPIC 212424622,b,EPIC 212424622 b,Transit,,,,0,,,,0,0,K2
EPIC 212499991,b,EPIC 212499991 b,Transit,,,,0,,,,0,0,K2
EPIC 212587672,b,EPIC 212587672 b,Transit,,,,0,,,,0,0,K2
EPIC 212737443,b,EPIC 212737443 b,Transit,0.098,0.004,-0.004,0,0.2,0.2,-0.2,0,0,K2
EPIC 212737443,c,EPIC 212737443 c,Transit,0.28,0.006,-0.006,0,0.2,0.2,-0.2,0,0,K2
K2-282,c,EPIC 220554210 c,Transit,,,,0,,,,0,0,K2
EPIC 220674823,b,EPIC 220674823 b,Transit,0.0134,0.0002,-0.0002,0,,,,0,0,K2
EPIC 220674823,c,EPIC 220674823 c,Transit,0.1091,0.0014,-0.0015,0,,,,0,0,K2
EPIC 246851721,b,EPIC 246851721 b,Transit,0.07229,0.00074,-0.00075,0,,,,0,0,K2
EPIC 248847494,b,EPIC 248847494 b,Transit,4.5,1,-1,0,0,,,0,0,K2
EPIC 249893012,b,EPIC 249893012 b,Transit,0.047,0.005,-0.007,0,0.06,0.08,-0.04,0,0,K2
EPIC 249893012,c,EPIC 249893012 c,Transit,0.13,0.01,-0.02,0,0.07,0.08,-0.05,0,0,K2
EPIC 249893012,d,EPIC 249893012 d,Transit,0.22,0.02,-0.04,0,0.15,0.21,-0.11,0,0,K2
FU Tau,b,FU Tau b,Imaging,800,,,0,,,,,0,Spitzer Space Telescope
Fomalhaut,b,Fomalhaut b,Imaging,160,33,-79,0,0.87,0.11,-0.05,0,0,Hubble Space Telescope
G 9-40,b,G 9-40 b,Transit,0.0385,0.0078,-0.0053,0,0,,,0,0,K2
GJ 1061,b,GJ 1061 b,Radial Velocity,0.021,0.001,-0.001,0,0.31,,,1,0,La Silla Observatory
GJ 1061,c,GJ 1061 c,Radial Velocity,0.035,0.001,-0.001,0,0.29,,,1,0,La Silla Observatory
GJ 1061,d,GJ 1061 d,Radial Velocity,0.054,0.001,-0.001,0,0.53,,,1,0,La Silla Observatory
GJ 1132,b,GJ 1132 b,Transit,0.0153,0.0005,-0.0005,0,0.22,,,1,0,Cerro Tololo Inter-American Observatory
GJ 1132,c,GJ 1132 c,Radial Velocity,0.0476,0.0017,-0.0017,0,0.27,,,1,0,La Silla Observatory
GJ 1148,b,GJ 1148 b,Radial Velocity,0.166,0.001,-0.001,0,0.38,0.01,-0.012,0,0,W. M. Keck Observatory
GJ 1148,c,GJ 1148 c,Radial Velocity,0.912,0.005,-0.002,0,0.342,0.05,-0.062,0,0,Calar Alto Observatory
GJ 1214,b,GJ 1214 b,Transit,0.01411,0.00032,-0.00032,0,,,,,0,MEarth Project
GJ 1252,b,GJ 1252 b,Transit,0.00916,0.00076,-0.00076,0,0,,,0,0,Transiting Exoplanet Survey Satellite (TESS)
GJ 1265,b,GJ 1265 b,Radial Velocity,0.026,0.001,-0.001,0,0.04,0.04,-0.04,0,0,Calar Alto Observatory
GJ 143,b,GJ 143 b,Transit,0.1915,0.0058,-0.0063,0,0.188,0.076,-0.078,0,0,Transiting Exoplanet Survey Satellite (TESS)
GJ 15 A,b,GJ 15 A b,Radial Velocity,0.072,0.003,-0.004,0,0.094,0.091,-0.065,0,0,W. M. Keck Observatory
GJ 15 A,c,GJ 15 A c,Radial Velocity,5.4,1,-0.9,0,0.27,0.28,-0.19,0,0,Roque de los Muchachos Observatory
GJ 160.2,b,GJ 160.2 b,Radial Velocity,0.053,0.004,-0.007,0,0.06,0.2,-0.06,0,0,Multiple Observatories
GJ 163,b,GJ 163 b,Radial Velocity,0.0607,0.00001,-0.00001,0,0.073,0.05,-0.05,0,0,La Silla Observatory
GJ 163,c,GJ 163 c,Radial Velocity,0.1254,0.0001,-0.0001,0,0.099,0.086,-0.086,0,0,La Silla Observatory
GJ 163,d,GJ 163 d,Radial Velocity,1.0304,0.0086,-0.0086,0,0.373,0.077,-0.077,0,0,La Silla Observatory
GJ 179,b,GJ 179 b,Radial Velocity,2.41,0.04,-0.04,0,0.21,0.08,-0.08,0,0,W. M. Keck Observatory
GJ 180,b,GJ 180 b,Radial Velocity,0.092,0.003,-0.003,0,0.07,0.04,-0.04,0,0,Multiple Observatories
GJ 180,c,GJ 180 c,Radial Velocity,0.129,0.007,-0.017,0,0.09,0.2,-0.09,0,0,Multiple Observatories
GJ 180,d,GJ 180 d,Radial Velocity,0.309,0.01,-0.01,0,0.14,0.04,-0.04,0,0,Multiple Facilities
GJ 229,c,GJ 229 A c,Radial Velocity,0.339,0.011,-0.011,0,0.19,0.08,-0.08,0,0,Multiple Facilities
GJ 229,b,GJ 229 b,Radial Velocity,0.898,0.031,-0.031,0,0.1,0.06,-0.06,0,0,Multiple Observatories
GJ 27.1,b,GJ 27.1 b,Radial Velocity,0.101,0.009,-0.013,0,0.08,0.18,-0.08,0,0,Multiple Observatories
GJ 273,b,GJ 273 b,Radial Velocity,0.091101,0.000019,-0.000017,0,0.1,0.09,-0.07,0,0,La Silla Observatory
GJ 273,c,GJ 273 c,Radial Velocity,0.036467,0.000002,-0.000002,0,0.17,0.13,-0.12,0,0,La Silla Observatory
GJ 3021,b,GJ 3021 b,Radial Velocity,0.49,,,0,0.511,0.017,-0.017,0,0,La Silla Observatory
GJ 3082,b,GJ 3082 b,Radial Velocity,0.079,0.003,-0.003,0,0.22,0.11,-0.11,0,0,Multiple Facilities
GJ 3138,b,GJ 3138 b,Radial Velocity,0.0197,0.0005,-0.0005,0,0.19,0.18,-0.13,0,0,La Silla Observatory
GJ 3138,c,GJ 3138 c,Radial Velocity,0.057,0.001,-0.001,0,0.11,0.11,-0.07,0,0,La Silla Observatory
GJ 3138,d,GJ 3138 d,Radial Velocity,0.698,0.018,-0.019,0,0.32,0.2,-0.21,0,0,La Silla Observatory
GJ 317,b,GJ 317 b,Radial Velocity,1.15,0.05,-0.05,0,0.11,0.05,-0.05,0,0,W. M. Keck Observatory
GJ 317,c,GJ 317 c,Radial Velocity,,,,0,0.308,0.065,-0.079,0,0,W. M. Keck Observatory
GJ 328,b,GJ 328 b,Radial Velocity,4.5,0.2,-0.2,0,0.37,0.05,-0.05,0,0,McDonald Observatory
GJ 3293,b,GJ 3293 b,Radial Velocity,0.14339,0.00003,-0.00003,0,0.06,0.04,-0.04,0,0,La Silla Observatory
GJ 3293,c,GJ 3293 c,Radial Velocity,0.36175,0.00048,-0.00047,0,0.11,0.1,-0.08,0,0,La Silla Observatory
GJ 3293,d,GJ 3293 d,Radial Velocity,0.19394,0.00017,-0.00018,0,0.12,0.13,-0.09,0,0,La Silla Observatory
GJ 3293,e,GJ 3293 e,Radial Velocity,0.08208,0.00003,-0.00004,0,0.21,0.2,-0.14,0,0,La Silla Observatory
GJ 3323,b,GJ 3323 b,Radial Velocity,0.03282,0.00054,-0.00056,0,0.23,0.11,-0.11,0,0,La Silla Observatory
GJ 3323,c,GJ 3323 c,Radial Velocity,0.1264,0.0021,-0.0022,0,0.17,0.21,-0.12,0,0,La Silla Observatory
GJ 3341,b,GJ 3341 b,Radial Velocity,0.089,,,0,0.31,0.11,-0.11,0,0,La Silla Observatory
GJ 3470,b,GJ 3470 b,Radial Velocity,0.0355,0.0019,-0.0019,0,,,,,0,La Silla Observatory
