Companion,alpha(deg),delta(deg),MG(mag),sep(au),mass(Msun),Teff(K),Flags
HD 102365 B,176.6275187,−40.49491513510,11.567+0.151,211, 0.192+0.022,3243+41, PRI 2MA BPRP
HD 102956 B,177.8583174,57.64481278,9.618+0.353,3901,0.411+0.003,3539+5,PRI 2MA BPRP
HD 103774 B,179.231897,−12.10647159910,9.826+0.376,351, 0.384+0.042,3504+58,  PRI 2MA BPRP
WASP-56 B,183.36699,23.05531435,11.211+0.145,1108,0.223+0.013,3298+20,
HD 106515 B,183.7743564,−7.25767685829, 5.166+0.079,234, 0.925+0.009,5425+36, PRI 2MA BPRP
HD 107148 B,184.806888,−3.32966725519, 13.809+0.152,1731,0.102+0.002,2835+23, WD 2MA BPRP
11 Com B,185.1807118,17.79517624,7.171+0.301,895, 0.687+0.012,4374+53,  PRI BPRP
WASP-87 B,185.3270069,−52.84257021603,5.304+0.118,2434,0.906+0.008,5349+33,  PRI 2MA BPRP
HD 108341 B,186.8800454,−71.42033692841,9.469+0.099,383, 0.431+0.004,3570+6,PRI 2MA BPRP
HD 109749 B,189.31731,−40.81447173640,6.033+0.178,529, 0.814+0.009,4954+37, PRI 2MA BPRP
WASP-108 B,195.8306558,−49.63793760644,12.118+0.098,2293,0.157+0.007,3152+21,  2MA BPRP
HD 113996 B,196.7811739,27.62286151,11.151+0.710,5127,0.229+0.038,3307+58,  ⋆ ⋆ ⋆ PRI BPRP
HD 114729 B,198.1821816,−31.87264772524,9.880+0.280,310, 0.376+0.041,3496+53, PRI 2MA BPRP
WASP-55 B,203.7585458,−17.50466010789,10.116+0.080,1308,0.343+0.010,3461+10, BPRP
HD 118904 B,204.2759742,71.23581386,11.831+1.176,3948,0.173+0.013,3200+30,  WD BPRP
HAT-P-3 B,206.0976378,48.027325,11.138+0.221,1324,0.230+0.007,3309+11,  PRI 2MA BPRP
HD 125612 B,215.230537,−17.50567271183,11.373+0.363,5194,0.207+0.006,3273+9,PRI 2MA BPRP
KELT-18 B,216.5255602,59.44462622,7.840+0.053,1110,0.617+0.006,4061+25,
HD 126614 B,216.6903457,−5.17270535729, 10.387+0.212,3066,0.306+0.016,3422+17, ⋆ ⋆ ⋆ PRI 2MA BPRP
WASP-14 C,218.2769128,21.89788182,11.134+0.205,1878,0.231+0.011,3309+17,  2MA BPRP
Qatar 6 B,222.2102389,22.15128784,10.998+0.103,486, 0.244+0.013,3330+20,  PRI 2MAB PRP
HD 132563 A (SB),224.5892892,44.04285707,3.579+0.114,430, 1.153+0.012,6098+28, extra PRI 2MA BPRP
HD 133131 B,225.8984524,−27.84313689024,4.704+0.077,379, 0.987+0.002,5679+8, PRI 2MA BPRP
WASP-24 B (EB),227.2095564,2.342042485, 8.993+0.114,7097,0.491+0.028,3668+72, PRI 2MA BPRP
NLTT 41136,236.5191481,4.690860569, 10.940+0.213,80,  0.250+0.002,3339+4,PRI BPRP
ω Ser B,237.5552833,2.206790637, 5.534+0.040,5755,0.876+0.005,5224+23,  PRI 2MA BPRP
HD 142245 BC,238.2343808,15.42992901,7.804+0.041,244, 0.621+0.004,4078+19,
HD 142022 B,242.5910907,−84.23526062051,6.773+0.240,687, 0.730+0.052,4572+240,PRI 2MA BPRP
AS 205 B (SB),242.8804074,−18.64090159091,6.057+0.367,168, 0.454+0.078,3724+126, CTTS
HD 147379 B,244.1834312,67.25662828,8.562+0.314,695, 0.540+0.044,3801+134, PRI 2MA BPRP
K2-31 B,245.4425595,−23.54970944030,13.501+0.206,931, 0.109+0.003,2903+24,  2MA BPRP
HD 147513 B,245.8914221,−39.22948746141,10.374+0.147,4454,0.307+0.007,3424+7, WD PRI 2MA BPRP
HD 147873 B,246.4294191,−33.55237947986,8.449+0.440,6494,0.552+0.020,3838+59,PRI 2MA BPRP
EPIC 205071984 B,252.4257768,−19.54715861843,11.412+0.186,2346,0.203+0.029,3267+44,  2MA BPRP
HAT-P-67 B,256.6093359,44.77921143,8.730+0.066,3419,0.521+0.007,3746+22,  PRI 2MA BPRP
HD 155233 B,257.7699216,−20.65217663300,9.566+0.068,916, 0.418+0.009,3550+14,  PRI 2MA BPRP
GJ 676 B,262.5657915,−51.64040633651,10.548+0.251,764, 0.288+0.023,3398+30, PRI 2MA BPRP
ψ1 Dra A (SB),265.4848335,72.14769941,2.406+0.119,684, 1.329+0.016,6515+38, ⋆ ⋆ ⋆ extra PRI 2MA BPRP
HD 164595 B,270.1886117,29.56651044,9.155+0.424,2492,0.471+0.027,3635+44,  PRI 2MA BPRP
42 Dra B,276.4897002,65.55739529,9.153+0.148,2220,0.471+0.010,3635+15,  PRI 2MA BPRP
HD 170469 B,277.306856,11.69081779,8.972+0.210,2604,0.494+0.023,3672+61, PRI 2MA BPRP
WASP-3 C,278.626024,35.65934543,6.010+0.129,4266,0.816+0.031,4967+132, ⋆ ⋆ ⋆ PRI 2MA BPRP
Kepler-1341 B,280.5079362,44.15815212,11.055+0.368,5121,0.238+0.016,3321+24, 2MA BPRP
CoRoT-9 B,280.7891103,6.206325716, 9.792+0.025,5002,0.388+0.003,3509+4,2MA BPRP
Kepler-83 B,282.2254303,43.66893274,9.884+0.281,8944,0.376+0.009,3495+10,  2MA BPRP
Kepler-410 B,283.151426,45.14045977,6.206+0.100,247, 0.793+0.009,4863+39,
Kepler-530 B,283.3403415,48.54791091,10.816+0.084,1923,0.262+0.006,3357+9, BPRP
Kepler-1540 B,283.3457293,41.20301516,10.810+0.267,1367,0.262+0.028,3358+43,  2MA BPRP
Kepler-1651 B,283.6299363,48.39064197,10.673+0.129,270, 0.276+0.018,3379+27,  PRI 2MA BPRP
HD 176051 B,284.2572876,32.90057479,6.478+0.094,19,  0.763+0.008,4723+37,
Kepler-504 B,284.9227743,45.97338921,10.260+0.166,431, 0.323+0.018,3440+19, PRI 2MA BPRP
Kepler-1130 B,285.2087012,45.38471102,9.841+0.116,882, 0.381+0.012,3502+13, PRI BPRP
Kepler-779 B,285.6293835,44.3116656,12.931+0.341,1105,0.125+0.005,3012+35,  WD BPRP
TRES-1 B,286.0363444,36.63291423,14.161+0.074,2111,0.097+0.001,2761+15,  2MA BPRP
Kepler-514 B,286.2502482,50.24453875,9.149+0.156,4863,0.471+0.009,3636+15,  2MA BPRP
Kepler-25 B,286.6355146,39.48863734,6.143+0.070,2061,0.800+0.012,4895+53, PRI 2MA BPRP
Kepler-13 B (SB),286.970925,46.86830159,1.764+0.136,607, 1.426+0.020,6744+48,  extra PRI BPRP
HD 178911 AC,287.2685338,34.60123679,3.315+0.079,652, 1.193+0.015,6192+36,  ⋆ ⋆ ⋆ extra PRI 2MA BPRP
Kepler-454 B,287.4779553,38.2305313,11.817+0.125,1301,0.174+0.010,3202+24, 2MA BPRP
Kepler-1027 B,287.5783582,42.81369898,9.153+0.165,7776,0.471+0.032,3635+56, ⋆ ⋆ ⋆ 2MA BPRP
Kepler-104 B,287.5996462,42.16940573,5.915+0.098,6877,0.828+0.009,5018+39,  PRI 2MA BPRP
Kepler-411 B,287.605004,49.52423845,10.219+0.111,533, 0.329+0.013,3446+14,  PRI BPRP
Kepler-20 B,287.699124,42.3392163,11.428+0.147,1080,0.202+0.005,3265+8,BPRP
Kepler-951 B,287.7406796,38.11819874,9.657+0.030,5997,0.406+0.004,3531+6,  BPRP
Kepler-477 A,288.0673376,42.35518558,5.669+0.071,555, 0.859+0.009,5151+38, PRI
Kepler-130 B,288.4498306,40.24419353,10.120+0.125,1337,0.343+0.019,3461+20,  ⋆ ⋆ ⋆ BPRP
Kepler-970 A,289.6183477,40.71217164,3.004+0.320,7520,1.240+0.019,6302+45,  extra PRI 2MA BPRP
Kepler-444 B (SB),289.7521801,41.63173279,9.457+0.025,67,  0.432+0.002,3572+2,
Kepler-515 B,290.493437,52.05530961,5.867+0.398,662, 0.835+0.024,5044+105,
Kepler-1063 B,290.5265338,38.14305311,4.766+0.327,491, 0.979+0.046,5645+147,
Kepler-1319 B,290.9557777,49.36708619,12.346+0.044,197, 0.146+0.002,3114+7,BPRP
Kepler-795 B,291.019272,38.54635518,7.872+0.100,1459,0.614+0.013,4047+57,  PRI BPRP
Kepler-390 B,291.6318918,41.21409731,10.066+0.059,9125,0.350+0.004,3469+4,  2MA BPRP
CoRoT-2 B,291.7765048,1.382667023, 8.482+0.222,876, 0.548+0.015,3828+46, PRI 2MA BPRP
Kepler-1480 B,291.9989997,49.30051795,6.796+0.238,2589,0.728+0.019,4560+87,  PRI 2MA BPRP
Kepler-333 B,292.2856611,40.91347351,10.948+0.155,417, 0.249+0.032,3337+50,
Kepler-167 B,292.6592217,38.3458394,11.300+0.135,765, 0.214+0.010,3284+16,
HATS-65 B,292.9388828,−26.73906747684,9.306+0.196,2502,0.451+0.022,3604+35, 2MA BPRP
